Nom amazon,link_amazon,Nom express,link_express,image_similarity,cosin_sim,jaro_winkler_sim
Samsung Galaxy S21 FE 5G NE Graphite 128GB,https://m.media-amazon.com/images/I/71wWl3S4lQL._AC_SY355_.jpg,"Samsung Galaxy S22 5G S901U1 128GB/256GB Unlocked Original Mobile Phone Octa Core Snapdragon 8 6.1"" 8GB RAM 50MP&12MP eSim NFC",https://ae01.alicdn.com/kf/S922358811e8647a988daa2a98493fa83C/Samsung-Galaxy-S22-5G-S901U1-128GB-256GB-Unlocked-Original-Mobile-Phone-Octa-Core-Snapdragon-8-6.jpg_.webp,0.8464952707290649,0.3112574675270537,0.6477304372041214
"Xiaomi Redmi Note 12 5G Smartphone, 6+128 Go téléphone Portable sans contrat, 6,67” FHD+ Flow AMOLED DotDisplay, 5 000 mAh, Appareil Photo 50 MP, Recharge Turbo 67 W, Double SIM Note 12 5G Blue",https://m.media-amazon.com/images/I/61tyXdod5WL._AC_SY355_.jpg,6in1 Glass For Xiaomi Redmi Note 12 Tempered Glass Redmi Note 12 Screen Protector HD Protective Phone Film Redmi Note 12 Pro,https://ae01.alicdn.com/kf/S72f024bb0a5240b598f35d3febf9791bl/6in1-Glass-For-Xiaomi-Redmi-Note-12-Tempered-Glass-Redmi-Note-12-Screen-Protector-HD-Protective.jpg_.webp,0.8322864770889282,0.2186588928548326,0.629531920809067
Samsung Galaxy A21s Noir,https://m.media-amazon.com/images/I/714rGlFUkEL._AC_SX342_.jpg,"Samsung Galaxy S10 5G G977N 512GB ROM 8GB RAM 6.7"" Octa Core NFC Exynos Korean Version Original Unlocked 5G",https://ae01.alicdn.com/kf/Hbf4dd2c2425d481280fdb2fb916b2679g/Samsung-Galaxy-S10-5G-G977N-512GB-ROM-8GB-RAM-6-7-Octa-Core-NFC-Exynos-Korean.png_.webp,0.818773090839386,0.3360969272762575,0.6664578536277034
"Xiaomi Redmi Note 12 Pro - Écran AMOLED 120Hz, Batterie 5000mAh 67W, Quad-caméra 108MP, 8+256Go, Gris (Version Française + 2 ans garantie)",https://m.media-amazon.com/images/I/61W1ncqWCoL._AC_SY355_.jpg,6in1 Glass For Xiaomi Redmi Note 12 Tempered Glass Redmi Note 12 Screen Protector HD Protective Phone Film Redmi Note 12 Pro,https://ae01.alicdn.com/kf/S72f024bb0a5240b598f35d3febf9791bl/6in1-Glass-For-Xiaomi-Redmi-Note-12-Tempered-Glass-Redmi-Note-12-Screen-Protector-HD-Protective.jpg_.webp,0.8072611093521118,0.252787155732161,0.6259654960628477
"Xiaomi Smartphone Redmi Note 12 Pro Plus 6,67"" 5G Double Nano SIM 256 Go Bleu",https://m.media-amazon.com/images/I/61VlycvQjoL._AC_SY355_.jpg,6in1 Glass For Xiaomi Redmi Note 12 Tempered Glass Redmi Note 12 Screen Protector HD Protective Phone Film Redmi Note 12 Pro,https://ae01.alicdn.com/kf/S72f024bb0a5240b598f35d3febf9791bl/6in1-Glass-For-Xiaomi-Redmi-Note-12-Tempered-Glass-Redmi-Note-12-Screen-Protector-HD-Protective.jpg_.webp,0.8006833791732788,0.2411358777863929,0.608375627545379
"Xiaomi Smartphone Redmi Note 12 Pro Plus 6,67"" 5G Double Nano SIM 256 Go Bleu",https://m.media-amazon.com/images/I/61VlycvQjoL._AC_SY355_.jpg,6in1 Glass For Xiaomi Redmi Note 12 Tempered Glass Redmi Note 12 Screen Protector HD Protective Phone Film Redmi Note 12 Pro,https://ae01.alicdn.com/kf/S72f024bb0a5240b598f35d3febf9791bl/6in1-Glass-For-Xiaomi-Redmi-Note-12-Tempered-Glass-Redmi-Note-12-Screen-Protector-HD-Protective.jpg_.webp,0.8006833791732788,0.2411358777863929,0.608375627545379
Casio Stainless Steel Vintage Digital Multicolor Dial Unisex A168Wa-1Wdf ( D131 ),https://m.media-amazon.com/images/I/511gHFVWqpL._SX522_.jpg,Casio F-91WS Square Electric Watch Resin Outdoor Waterproof Sports Women Men Student Watch Digital Stopwatch Automatic Calendar,https://ae01.alicdn.com/kf/S85c207ea235044eba867ba7d1a574fffF/Casio-F-91WS-Square-Electric-Watch-Resin-Outdoor-Waterproof-Sports-Women-Men-Student-Watch-Digital-Stopwatch.jpg_.webp,0.9448512196540833,0.0460436064742678,0.6043938952075435
"ALIBA COLLECTION 4 Piece Medium Hair Claw Clips, Matte Flower Claw Clips for Fine Hair/Medium Thick Hair, Pastel Hair Clips for Women and Girls, Nonslip Jaw Clips [Multicolor]",https://m.media-amazon.com/images/I/4187jx2m1RL._SY679_.jpg,Women Frosted Hair Clips Girls Hair Claws Candy Colors Flower Hairpin Crab Barrette Headwear Fashion Ornament Hair Accessories,https://ae01.alicdn.com/kf/Sd8b768c1d6164f4098f4ff695d5df9a41/Women-Frosted-Hair-Clips-Girls-Hair-Claws-Candy-Colors-Flower-Hairpin-Crab-Barrette-Headwear-Fashion-Ornament.jpg_640x640.jpg_.webp,0.8547026515007019,0.2934018786076908,0.6587301587301587
Xivir Claw Hair Clips for Women Thick Hair - Big Butterfly Claw Clips for Grils long hair Cute Jaw Clips for Curly Hair Strong Hold Durable Matte Hair Clamps (Desg_01),"https://m.media-amazon.com/images/I/51jNwYTQtiL._SY355_PIbundle-3,TopRight,0,0_AA355SH20_.jpg",2023 Women Hair Clip Cross Matte Hairpin Fashion French Elegant Hairgrips Large Hair Claw Clips Girls Korean Hair Accessories,https://ae01.alicdn.com/kf/S48ed006f17cd4bd28243a30bdb1ac179Y/2023-Women-Hair-Clip-Cross-Matte-Hairpin-Fashion-French-Elegant-Hairgrips-Large-Hair-Claw-Clips-Girls.jpg_.webp,0.8295999765396118,0.353173195187539,0.6644053431598341
SUNFRIZ Latest Unisex Stylish Metal Round Frame Shape Sunglasses(free size),https://m.media-amazon.com/images/I/51VFL4Ef2aL._SX679_.jpg,1Pc Round Frame Metal Sunglasses Men Women Classic Gothic Steampunk Sun Glasses Vintage Business Style UV400 Shades Goggles,https://ae01.alicdn.com/kf/S975c9139ccd141758e3a7f54d40b238dS/1Pc-Round-Frame-Metal-Sunglasses-Men-Women-Classic-Gothic-Steampunk-Sun-Glasses-Vintage-Business-Style-UV400.jpeg_640x640.jpeg_.webp,0.9313904643058776,0.2379441116128916,0.6029047815901888
VSAKSH Large Hair Bows for Women Black White 2PCS Silky Hair Barrettes Clip Ribbon Giant Hair Bow Oversized Hair Slides Metal Clips Vintage 90's Accessories for Girls,https://m.media-amazon.com/images/I/71MTjurn90L._SX522_.jpg,Elegant Bow Ribbon Hair Clip Fashion Simple Solid Satin Spring Clip Hair Pin Retro Headband with Clips Girls Hair Accessories,https://ae01.alicdn.com/kf/Sa818bd3a75d247e8b36f61aa0149f1acT/Elegant-Bow-Ribbon-Hair-Clip-Fashion-Simple-Solid-Satin-Spring-Clip-Hair-Pin-Retro-Headband-with.jpg_640x640.jpg_.webp,0.8884280920028687,0.3753011379495253,0.70511388410786
"Trendy Club 6 Pcs Hair Scrunchies Hair Ties Fashion Silk Hair Bands Hair Bow Ropes Hair Elastic Bracelet Ponytail Holders Hair Accessories for Women and Girls (4.5 inch, Classic color)",https://m.media-amazon.com/images/I/41Qyi2mcJXL.jpg,Silky satin Scrunchies Hair Accessories Hair Bands Ties Elastics Ponytail Holders for Women Girls,https://ae01.alicdn.com/kf/Seb65eb58c33d4c9cb228fc7b89f9321bF/Silky-satin-Scrunchies-Hair-Accessories-Hair-Bands-Ties-Elastics-Ponytail-Holders-for-Women-Girls.jpg_640x640.jpg_.webp,0.9022270441055298,0.3978487889228413,0.6878377284725335
"Redragon M810 Pro Wireless Gaming Mouse, 10000 DPI Wired/Wireless Gamer Mouse w/Rapid Fire Key, 8 Macro Buttons, 45-Hour Durable Power Capacity and RGB Backlit for PC/Mac/Laptop",https://m.media-amazon.com/images/I/51UCF1KOnKL._AC_SY355_.jpg,"Redragon-Souris de jeu sans fil M991, 19000 ug I filaire/sans fil, avec rétro-éclairage RVB",https://ae01.alicdn.com/kf/S22ed424e84db45e0bea1c952cdbf5239N/Redragon-Souris-de-jeu-sans-fil-M991-19000-ug-I-filaire-sans-fil-avec-r-tro.png_.webp,0.9126837253570556,0.0266448878022146,0.6218658930523336
"SOLAKAKA SM900 White Wired Gaming Mouse with Honeycomb Shell,12800 DPI,7 Programmable Buttons,Lightweight Gaming Mice Ergonomic Computer Mouse Gaming for Windows/PC/Mac/Laptop Gamer",https://m.media-amazon.com/images/I/61wmkh+azPL._AC_SY355_.jpg,"SOLAKAKA-Souris sans fil SMfemale Bluetooth 5.0, 2.4G ug I 3200, souris de jeu RVB pour ordinateur portable, bureau, bureau",https://ae01.alicdn.com/kf/Sb4df0c904e894b2db8716c79233cae96m/SOLAKAKA-Souris-sans-fil-SMfemale-Bluetooth-5-0-2-4G-ug-I-3200-souris-de-jeu.png_640x640.png_.webp,0.8581891655921936,0.0204459634624887,0.6339496920058908
"RK ROYAL KLUDGE RK61 Wireless 60% Mechanical Gaming Keyboard, Ultra-Compact 60 Keys Bluetooth Mechanical Keyboard with Programmable Software (Blue Switch, White)",https://m.media-amazon.com/images/I/61GTyueMYsL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Royal Kludge-Clavier mécanique Bluetooth sans fil, RK61, 61 prédire, blanc, rétro4.2, mini USB Gamer, ordinateur PC, ordinateur portable",https://ae01.alicdn.com/kf/S7fffe9b0a850450685266ab57a654f52T/Royal-Kludge-Clavier-m-canique-Bluetooth-sans-fil-RK61-61-pr-dire-blanc-r-tro4-2.jpg_.webp,0.8231854438781738,0.0967516110274622,0.6585109023100627
"Redragon M810 Pro Wireless Gaming Mouse, 10000 DPI Wired/Wireless Gamer Mouse w/Rapid Fire Key, 8 Macro Buttons, 45-Hour Durable Power Capacity and RGB Backlit for PC/Mac/Laptop",https://m.media-amazon.com/images/I/51UCF1KOnKL._AC_SY355_.jpg,Noir Razer DeathAdder Essential Filaire Gaming Souris 6400DPI Capteur Optique 5 Indépendamment Boutons Pour PC Gamer,https://ae01.alicdn.com/kf/S3d8ef292017d43258f8a3d167cea68b7M/Noir-Razer-DeathAdder-Essential-Filaire-Gaming-Souris-6400DPI-Capteur-Optique-5-Ind-pendamment-Boutons-Pour-PC.jpg_640x640.jpg_.webp,0.8445147275924683,0.0620315677311988,0.6527416184049731
Razer DeathAdder V3 Wired Gaming Mouse: 59g Ultra Lightweight - Pro 30K Optical Sensor - Gen-3 Fast Switches - 8K Hz HyperPolling - 6 Programmable Buttons - Ergonomic - Speedflex Cable - Black,https://m.media-amazon.com/images/I/51XO3LBZEJL._AC_SY450_.jpg,Noir Razer DeathAdder Essential Filaire Gaming Souris 6400DPI Capteur Optique 5 Indépendamment Boutons Pour PC Gamer,https://ae01.alicdn.com/kf/S3d8ef292017d43258f8a3d167cea68b7M/Noir-Razer-DeathAdder-Essential-Filaire-Gaming-Souris-6400DPI-Capteur-Optique-5-Ind-pendamment-Boutons-Pour-PC.jpg_640x640.jpg_.webp,0.8048735857009888,0.116743570227947,0.652789983446788
"Xiaomi Note 11E 5G + 4G LTE 128GB + 4GB 6.58"" 50MP Camera Global Unlocked (Only Tmobile/Mint/Metro USA) (w/Fast Car 51W Charger Bundle) (Green)",https://m.media-amazon.com/images/I/51f7h-RL7xL._AC_SX425_.jpg,"Xiaomi-Smartphone Redmi Note 11E / 11 Prime 5G, téléphone portable, Epi6.58, 4/6 Go de RAM, 128 Go de ROM, Dean 50MP, Octa-Core, Android, touriste, original",https://ae01.alicdn.com/kf/S6908d20fe1154b839832304ffaf0cc68Z/Xiaomi-Smartphone-Redmi-Note-11E-11-Prime-5G-t-l-phone-portable-Epi6-58-4-6.jpg_.webp,0.9086557030677797,0.1297821853838957,0.6805419398877343
